"Rk.","Team","Season","Pitches_empty","Tempo_empty","TimerEquiv._empty","Fast %_empty","Slow %_empty","Pitches_onBase","Tempo_onBase","TimerEquiv._onBase","Fast %_onBase","Slow %_onBase"
"317"," Angels"," 2020"," 2517"," 18.2"," 12.2"," 18.1%"," 3.3%"," 1577"," 24.9"," 18.9"," 0.3%"," 17.1%"," 
                Compare
            "
"318"," Nationals"," 2019"," 7085"," 18.3"," 12.3"," 17.1%"," 2.0%"," 3812"," 23.5"," 17.5"," 0.7%"," 12.0%"," 
                Compare
            "
"319"," Angels"," 2017"," 7191"," 18.3"," 12.3"," 19.0%"," 3.8%"," 3675"," 24.6"," 18.6"," 0.2%"," 19.0%"," 
                Compare
            "
"320"," Athletics"," 2020"," 2452"," 18.3"," 12.3"," 15.7%"," 2.4%"," 1391"," 24.1"," 18.1"," 0.5%"," 15.3%"," 
                Compare
            "
"321"," Dodgers"," 2020"," 2501"," 18.3"," 12.3"," 18.6%"," 2.8%"," 1295"," 24.6"," 18.6"," 0.2%"," 15.9%"," 
                Compare
            "
"322"," D-backs"," 2021"," 6693"," 18.3"," 12.3"," 15.8%"," 2.1%"," 4235"," 24.1"," 18.1"," 0.9%"," 16.5%"," 
                Compare
            "
"323"," Royals"," 2016"," 6906"," 18.3"," 12.3"," 21.8%"," 4.7%"," 4250"," 23.6"," 17.6"," 4.8%"," 19.1%"," 
                Compare
            "
"324"," Royals"," 2021"," 6851"," 18.3"," 12.3"," 19.9%"," 2.9%"," 4425"," 24.3"," 18.3"," 0.2%"," 15.4%"," 
                Compare
            "
"325"," Angels"," 2022"," 6537"," 18.3"," 12.3"," 18.6%"," 3.7%"," 4198"," 23.9"," 17.9"," 0.5%"," 16.9%"," 
                Compare
            "
"326"," D-backs"," 2018"," 7209"," 18.4"," 12.4"," 15.0%"," 2.2%"," 3925"," 25.5"," 19.5"," 0.1%"," 18.5%"," 
                Compare
            "
"327"," Braves"," 2019"," 7047"," 18.4"," 12.4"," 16.1%"," 2.7%"," 4158"," 24.2"," 18.2"," 0.6%"," 15.3%"," 
                Compare
            "
"328"," Twins"," 2019"," 6844"," 18.4"," 12.4"," 19.6%"," 3.2%"," 4018"," 24.9"," 18.9"," 0.4%"," 17.8%"," 
                Compare
            "
"329"," Brewers"," 2015"," 6881"," 18.4"," 12.4"," 24.9%"," 5.5%"," 3929"," 25.0"," 19.0"," 5.5%"," 27.5%"," 
                Compare
            "
"330"," Angels"," 2018"," 7186"," 18.4"," 12.4"," 17.7%"," 3.8%"," 4147"," 24.8"," 18.8"," 0.2%"," 18.0%"," 
                Compare
            "
"331"," Rangers"," 2021"," 6803"," 18.4"," 12.4"," 17.5%"," 3.1%"," 4007"," 24.4"," 18.4"," 0.3%"," 16.8%"," 
                Compare
            "
"332"," Rays"," 2017"," 7164"," 18.4"," 12.4"," 15.3%"," 3.3%"," 4071"," 24.5"," 18.5"," 0.5%"," 16.7%"," 
                Compare
            "
"333"," Cubs"," 2020"," 2648"," 18.4"," 12.4"," 17.6%"," 3.9%"," 1346"," 24.6"," 18.6"," 0.1%"," 17.3%"," 
                Compare
            "
"334"," Astros"," 2015"," 6929"," 18.4"," 12.4"," 25.1%"," 6.5%"," 3998"," 24.5"," 18.5"," 6.1%"," 25.2%"," 
                Compare
            "
"335"," D-backs"," 2020"," 2673"," 18.4"," 12.4"," 15.5%"," 2.2%"," 1439"," 23.7"," 17.7"," 0.7%"," 15.8%"," 
                Compare
            "
"336"," Rays"," 2019"," 7114"," 18.5"," 12.5"," 16.9%"," 3.1%"," 3710"," 24.4"," 18.4"," 0.4%"," 18.5%"," 
                Compare
            "
"337"," Rockies"," 2015"," 6738"," 18.5"," 12.5"," 25.3%"," 6.2%"," 4226"," 25.0"," 19.0"," 5.2%"," 26.1%"," 
                Compare
            "
"338"," Pirates"," 2021"," 6634"," 18.5"," 12.5"," 16.1%"," 2.4%"," 4207"," 24.7"," 18.7"," 0.8%"," 18.0%"," 
                Compare
            "
"339"," Braves"," 2020"," 2536"," 18.5"," 12.5"," 19.1%"," 2.9%"," 1626"," 24.5"," 18.5"," 0.6%"," 15.9%"," 
                Compare
            "
"340"," Dodgers"," 2019"," 7012"," 18.5"," 12.5"," 16.9%"," 3.4%"," 3340"," 24.6"," 18.6"," 0.1%"," 19.0%"," 
                Compare
            "
"341"," D-backs"," 2019"," 7262"," 18.5"," 12.5"," 14.4%"," 2.6%"," 3847"," 24.9"," 18.9"," 0.7%"," 19.5%"," 
                Compare
            "
"342"," Nationals"," 2022"," 6893"," 18.5"," 12.5"," 16.7%"," 2.4%"," 4537"," 24.8"," 18.8"," 0.6%"," 16.2%"," 
                Compare
            "
"343"," Astros"," 2020"," 2588"," 18.5"," 12.5"," 12.8%"," 2.6%"," 1741"," 24.3"," 18.3"," 0.1%"," 15.7%"," 
                Compare
            "
"344"," Dodgers"," 2015"," 6883"," 18.5"," 12.5"," 25.9%"," 6.6%"," 3374"," 25.5"," 19.5"," 5.4%"," 29.8%"," 
                Compare
            "
"345"," Mariners"," 2021"," 6656"," 18.5"," 12.5"," 13.1%"," 2.5%"," 4033"," 24.6"," 18.6"," 0.1%"," 18.2%"," 
                Compare
            "
"346"," Yankees"," 2021"," 6831"," 18.6"," 12.6"," 15.5%"," 3.5%"," 3749"," 25.4"," 19.4"," 0.2%"," 21.1%"," 
                Compare
            "
"347"," Padres"," 2022"," 6869"," 18.6"," 12.6"," 15.2%"," 3.5%"," 3971"," 24.4"," 18.4"," 0.9%"," 18.4%"," 
                Compare
            "
"348"," Padres"," 2016"," 7089"," 18.6"," 12.6"," 21.0%"," 4.8%"," 4252"," 24.5"," 18.5"," 4.1%"," 20.7%"," 
                Compare
            "
"349"," Athletics"," 2022"," 6504"," 18.6"," 12.6"," 16.8%"," 3.3%"," 4220"," 23.4"," 17.4"," 0.7%"," 12.9%"," 
                Compare
            "
"350"," Rangers"," 2020"," 2634"," 18.6"," 12.6"," 15.1%"," 2.6%"," 1753"," 24.5"," 18.5"," 0.2%"," 18.1%"," 
                Compare
            "
"351"," Phillies"," 2021"," 6759"," 18.6"," 12.6"," 15.4%"," 3.2%"," 3927"," 25.1"," 19.1"," 0.3%"," 19.0%"," 
                Compare
            "
"352"," Rays"," 2021"," 6751"," 18.6"," 12.6"," 17.0%"," 3.0%"," 3610"," 23.5"," 17.5"," 1.0%"," 16.3%"," 
                Compare
            "
"353"," Nationals"," 2021"," 6892"," 18.7"," 12.7"," 17.4%"," 3.2%"," 4141"," 24.9"," 18.9"," 0.1%"," 18.0%"," 
                Compare
            "
"354"," Brewers"," 2021"," 7156"," 18.7"," 12.7"," 21.1%"," 4.2%"," 4003"," 24.1"," 18.1"," 2.7%"," 18.4%"," 
                Compare
            "
"355"," Tigers"," 2016"," 7007"," 18.7"," 12.7"," 22.3%"," 5.6%"," 3750"," 25.5"," 19.5"," 3.4%"," 26.1%"," 
                Compare
            "
"356"," Rays"," 2013"," 7170"," 18.7"," 12.7"," 15.4%"," 4.3%"," 3995"," 25.2"," 19.2"," 0.7%"," 21.8%"," 
                Compare
            "
"357"," Blue Jays"," 2022"," 6420"," 18.7"," 12.7"," 14.6%"," 3.7%"," 3863"," 22.7"," 16.7"," 0.6%"," 11.4%"," 
                Compare
            "
"358"," Phillies"," 2020"," 2293"," 18.7"," 12.7"," 14.5%"," 3.1%"," 1602"," 24.3"," 18.3"," 0.8%"," 12.9%"," 
                Compare
            "
"359"," Dodgers"," 2018"," 6927"," 18.8"," 12.8"," 16.2%"," 3.4%"," 3572"," 23.6"," 17.6"," 0.5%"," 14.6%"," 
                Compare
            "
"360"," Dodgers"," 2017"," 6977"," 18.8"," 12.8"," 12.9%"," 3.7%"," 3448"," 24.3"," 18.3"," 0.1%"," 19.0%"," 
                Compare
            "
"361"," Giants"," 2016"," 7012"," 18.8"," 12.8"," 21.2%"," 6.3%"," 3871"," 25.5"," 19.5"," 4.2%"," 25.8%"," 
                Compare
            "
"362"," Athletics"," 2021"," 6629"," 18.8"," 12.8"," 14.5%"," 3.9%"," 3979"," 24.2"," 18.2"," 0.5%"," 17.6%"," 
                Compare
            "
"363"," Astros"," 2021"," 7029"," 18.8"," 12.8"," 15.6%"," 3.3%"," 4234"," 25.2"," 19.2"," 0.3%"," 21.6%"," 
                Compare
            "
"364"," Tigers"," 2015"," 7077"," 18.8"," 12.8"," 21.9%"," 6.8%"," 3930"," 26.1"," 20.1"," 5.3%"," 30.0%"," 
                Compare
            "
"365"," Red Sox"," 2019"," 7553"," 18.9"," 12.9"," 14.9%"," 3.6%"," 4720"," 24.8"," 18.8"," 0.3%"," 20.0%"," 
                Compare
            "
"366"," D-backs"," 2016"," 6888"," 18.9"," 12.9"," 21.4%"," 5.4%"," 4486"," 26.2"," 20.2"," 2.8%"," 28.4%"," 
                Compare
            "
"367"," Rangers"," 2022"," 6554"," 18.9"," 12.9"," 11.5%"," 3.9%"," 4320"," 23.8"," 17.8"," 0.1%"," 14.2%"," 
                Compare
            "
"368"," Angels"," 2021"," 6995"," 18.9"," 12.9"," 13.9%"," 3.7%"," 4432"," 24.2"," 18.2"," 0.5%"," 18.5%"," 
                Compare
            "
"369"," Blue Jays"," 2021"," 6804"," 18.9"," 12.9"," 13.6%"," 3.8%"," 4053"," 23.9"," 17.9"," 0.3%"," 15.2%"," 
                Compare
            "
"370"," Rays"," 2020"," 2387"," 18.9"," 12.9"," 13.0%"," 4.8%"," 1418"," 23.8"," 17.8"," 0.6%"," 17.6%"," 
                Compare
            "
"371"," Dodgers"," 2022"," 6602"," 18.9"," 12.9"," 13.1%"," 2.0%"," 3386"," 23.8"," 17.8"," 1.1%"," 12.4%"," 
                Compare
            "
"372"," Red Sox"," 2016"," 6878"," 18.9"," 12.9"," 22.1%"," 7.2%"," 4075"," 26.0"," 20.0"," 4.8%"," 29.0%"," 
                Compare
            "
"373"," Red Sox"," 2011"," 6327"," 18.9"," 12.9"," 19.1%"," 5.2%"," 4207"," 24.5"," 18.5"," 1.2%"," 20.4%"," 
                Compare
            "
"374"," Padres"," 2021"," 7150"," 19.0"," 13.0"," 13.4%"," 4.2%"," 4013"," 25.4"," 19.4"," 0.4%"," 23.0%"," 
                Compare
            "
"375"," Giants"," 2014"," 6656"," 19.0"," 13.0"," 12.3%"," 3.8%"," 3557"," 24.9"," 18.9"," 0.2%"," 20.4%"," 
                Compare
            "
"376"," Nationals"," 2020"," 2354"," 19.0"," 13.0"," 13.0%"," 3.0%"," 1597"," 24.5"," 18.5"," 0.8%"," 12.8%"," 
                Compare
            "
"377"," Twins"," 2020"," 2593"," 19.0"," 13.0"," 15.0%"," 3.4%"," 1388"," 25.0"," 19.0"," 0.2%"," 20.0%"," 
                Compare
            "
"378"," Dodgers"," 2016"," 7383"," 19.1"," 13.1"," 19.1%"," 6.2%"," 3703"," 25.7"," 19.7"," 2.7%"," 28.8%"," 
                Compare
            "
"379"," Giants"," 2015"," 6726"," 19.1"," 13.1"," 20.5%"," 6.8%"," 3672"," 25.6"," 19.6"," 4.2%"," 28.2%"," 
                Compare
            "
"380"," Rays"," 2022"," 6497"," 19.1"," 13.1"," 11.1%"," 3.5%"," 3694"," 23.4"," 17.4"," 1.5%"," 12.9%"," 
                Compare
            "
"381"," Phillies"," 2022"," 6534"," 19.1"," 13.1"," 12.1%"," 3.7%"," 4020"," 24.3"," 18.3"," 0.7%"," 15.2%"," 
                Compare
            "
"382"," Blue Jays"," 2020"," 2665"," 19.2"," 13.2"," 11.7%"," 3.9%"," 1763"," 25.3"," 19.3"," 0.6%"," 21.6%"," 
                Compare
            "
"383"," Dodgers"," 2021"," 6590"," 19.2"," 13.2"," 13.4%"," 4.0%"," 3674"," 25.3"," 19.3"," 0.2%"," 21.6%"," 
                Compare
            "
"384"," Astros"," 2022"," 6549"," 19.2"," 13.2"," 13.0%"," 3.6%"," 3630"," 24.0"," 18.0"," 0.7%"," 16.0%"," 
                Compare
            "
"385"," Yankees"," 2016"," 6996"," 19.3"," 13.3"," 19.2%"," 5.5%"," 3978"," 25.8"," 19.8"," 3.2%"," 27.3%"," 
                Compare
            "
"386"," Rays"," 2014"," 7203"," 19.4"," 13.4"," 13.4%"," 5.1%"," 4231"," 26.1"," 20.1"," 0.3%"," 24.6%"," 
                Compare
            "
"387"," Red Sox"," 2020"," 2500"," 19.6"," 13.6"," 9.7%"," 4.0%"," 1917"," 24.2"," 18.2"," 1.1%"," 15.4%"," 
                Compare
            "
"388"," White Sox"," 2021"," 6900"," 19.6"," 13.6"," 9.1%"," 3.7%"," 3863"," 24.1"," 18.1"," 0.7%"," 16.6%"," 
                Compare
            "
"389"," Yankees"," 2015"," 7050"," 19.7"," 13.7"," 15.5%"," 6.7%"," 4288"," 25.7"," 19.7"," 4.2%"," 27.7%"," 
                Compare
            "
"390"," White Sox"," 2022"," 6784"," 19.8"," 13.8"," 10.0%"," 5.1%"," 4285"," 23.9"," 17.9"," 1.0%"," 15.3%"," 
                Compare
            "
